EGID	GDEKT	GGDENR	GGDENAME	EGRID	LGBKR	LPARZ	LPARZSX	LTYP	GEBNR	GBEZ	GKODE	GKODN	GKSCE	GSTAT	GKAT	GKLAS	GBAUJ	GBAUM	GBAUP	GABBJ	GAREA	GVOL	GVOLNORM	GVOLSCE	GASTW	GANZWHG	GAZZI	GSCHUTZR	GEBF	GWAERZH1	GENH1	GWAERSCEH1	GWAERDATH1	GWAERZH2	GENH2	GWAERSCEH2	GWAERDATH2	GWAERZW1	GENW1	GWAERSCEW1	GWAERDATW1	GWAERZW2	GENW2	GWAERSCEW2	GWAERDATW2	GEXPDAT
1753854	BE	371	Biel/Bienne	CH943546115953	0	7789					2584455.018	1220561.101	901	1004	1020	1122			8013		244				4	5	6			7430	7520	855	2025-09-16					7650	7560	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753855	BE	371	Biel/Bienne	CH194611613506	0	7866					2584427.628	1220546.195	901	1004	1020	1122			8013		169				3	6				7432	7530	855	2025-09-16					7632	7530	855	2021-02-03	7600	7500	860	2001-11-29	2026-04-25
1753856	BE	371	Biel/Bienne	CH561246357773	0	8010					2584402.586	1220531.974	901	1004	1020	1122			8013		170				3	6				7432	7530	855	2025-09-16					7632	7530	855	2021-02-03	7600	7500	860	2001-11-29	2026-04-25
1753857	BE	371	Biel/Bienne	CH961246357239	0	3184					2584599.962	1220677.501	901	1004	1020	1110			8012		189				3	1				7432	7530	855	2025-09-16					7630	7530	860	2001-11-29					2026-04-25
1753858	BE	371	Biel/Bienne	CH173512724624	0	3185					2584617.604	1220691.195	901	1004	1020	1110			8012		138				3	1				7430	7520	855	2025-09-16					7630	7520	855	2025-09-16					2026-04-25
1753859	BE	371	Biel/Bienne	CH761846355856	0	3186					2584634.038	1220700.708	901	1004	1020	1121			8011		133				2	2				7430	7520	855	2025-09-16	7420	7570	858	2014-03-04	7630	7520	855	2025-09-16	7620	7570	858	2014-04-03	2026-04-25
1753860	BE	371	Biel/Bienne	CH221363463537	0	3187					2584649.979	1220711.303	901	1004	1020	1122			8011		171				4	3	1			7430	7530	855	2025-09-16					7630	7530	855	2025-09-16	7600	7500	860	2001-11-29	2026-04-25
1753861	BE	371	Biel/Bienne	CH994612723580	0	3178					2584648.69	1220763.044	901	1004	1020	1122			8012		313				3	4				7434	7520	855	2025-09-16					7634	7520	864	2018-12-04	7600	7500	860	2001-11-29	2026-04-25
1753862	BE	371	Biel/Bienne	CH143546128802	0	3191					2584690.622	1220751.659	901	1004	1020	1110			8012		157				3	1				7432	7530	855	2025-09-16					7632	7530	855	2021-02-03	7600	7500	860	2001-11-29	2026-04-25
1753863	BE	371	Biel/Bienne	CH943546127237	0	3182					2584687.981	1220800.477	901	1004	1020	1110			8012		108				3	1				7430	7530	855	2025-09-16					7630	7530	855	2025-09-16	7600	7500	860	2001-11-29	2026-04-25
1753864	BE	371	Biel/Bienne	CH361746355627	0	3192					2584705.628	1220766.066	901	1004	1020	1110			8012		120				4	1				7434	7520	855	2025-09-16					7630	7520	855	2018-11-30	7600	7500	860	2001-11-29	2026-04-25
1753865	BE	371	Biel/Bienne	CH143546183636	0	3252					2584699.39	1220814.855	901	1004	1020	1110			8011		84				3	1				7410	7598	870	2025-08-01					7610	7598	870	2025-08-01	7600	7500	860	2001-11-29	2026-04-25
1753866	BE	371	Biel/Bienne	CH521288463528	0	3253					2584705.121	1220821.448	901	1004	1020	1110			8011		85				3	1				7434	7520	855	2025-09-16					7634	7520	864	2018-12-03	7600	7500	860	2001-11-29	2026-04-25
1753867	BE	371	Biel/Bienne	CH713585461252	0	3254					2584710.051	1220843.461	901	1004	1020	1110			8012		140				3	1				7432	7530	855	2025-09-16					7650	7560	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753868	BE	371	Biel/Bienne	CH158846123595	0	3193					2584717.082	1220780.266	901	1004	1020	1110			8012		147				3	1			277	7410	7501	864	2025-08-28					7610	7501	864	2025-08-28					2026-04-25
1753869	BE	371	Biel/Bienne	CH413506461190	0	3256					2584735.919	1220790.601	901	1004	1020	1110			8011		136				3	1				7410	7501	865	2025-10-29	7400	7500	869	2024-08-31	7610	7501	865	2025-10-29	7600	7500	860	2001-11-29	2026-04-25
1753870	BE	371	Biel/Bienne	CH934611356178	0	6882					2584759.155	1220804.057	901	1004	1020	1121			8013		249				3	2			441	7410	7501	864	2025-08-28					7610	7501	864	2025-08-28	7600	7500	860	2001-11-29	2026-04-25
1753871	BE	371	Biel/Bienne	CH843546128063	0	7090					2584750.396	1220842.821	901	1004	1020	1110			8012		122				2	1				7430	7530	855	2025-09-16					7650	7560	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753872	BE	371	Biel/Bienne	CH861246357273	0	3172					2584496.66	1220655.292	901	1004	1020	1122			8015		137				3	3			512	7430	7520	870	2025-08-22					7630	7520	870	2025-08-22	7600	7500	860	2001-11-29	2026-04-25
1753873	BE	371	Biel/Bienne	CH861246357273	0	3172					2584508.178	1220661.38	901	1004	1020	1122			8015		180				3	4			496	7430	7520	864	2025-08-28					7630	7520	864	2025-08-28	7600	7500	860	2001-11-29	2026-04-25
1753874	BE	371	Biel/Bienne	CH861246357273	0	3172					2584519.412	1220668.993	901	1004	1020	1122			8015		169				3	3			498	7435	7520	855	2025-09-16					7630	7520	864	2018-11-30	7600	7500	860	2001-11-29	2026-04-25
1753875	BE	371	Biel/Bienne	CH861246357273	0	3172					2584530.354	1220676.586	901	1004	1020	1122			8015		167				3	3			496	7430	7520	864	2025-08-28					7630	7520	864	2025-08-28	7600	7500	860	2001-11-29	2026-04-25
1753876	BE	371	Biel/Bienne	CH861246357273	0	3172					2584542.2	1220684.127	901	1004	1020	1122			8015		175				3	4			439	7430	7520	864	2025-08-28					7630	7520	864	2025-08-28	7600	7500	860	2001-11-29	2026-04-25
1753877	BE	371	Biel/Bienne	CH861246357273	0	3172					2584553.919	1220691.818	901	1004	1020	1122			8015		179				3	3			444	7430	7520	864	2025-08-28					7630	7520	864	2025-08-28	7600	7500	860	2001-11-29	2026-04-25
1753878	BE	371	Biel/Bienne	CH861246357273	0	3172					2584565.369	1220699.575	901	1004	1020	1122			8015		180				3	3			543	7430	7520	864	2025-08-28					7630	7520	864	2025-08-28	7600	7500	860	2001-11-29	2026-04-25
1753879	BE	371	Biel/Bienne	CH861246357273	0	3172					2584575.928	1220708.543	901	1004	1020	1122			8015		151				3	3	1		550	7430	7520	864	2025-08-28					7630	7520	864	2025-08-28	7600	7500	860	2001-11-29	2026-04-25
1753880	BE	371	Biel/Bienne	CH943546116151	0	6883					2584776.328	1220824.487	901	1004	1020	1110			8012		164				2	1				7432	7530	855	2025-09-16					7630	7530	860	2001-11-29					2026-04-25
1753881	BE	371	Biel/Bienne	CH301235884616	0	3223					2584777.369	1220937.706	901	1004	1020	1122	1924		8012		172				3	3				7430	7530	855	2025-09-16					7630	7530	855	2025-09-16	7600	7500	860	2001-11-29	2026-04-25
1753882	BE	371	Biel/Bienne	CH101135594604	0	8936					2584768.218	1220861.501	901	1004	1020	1122			8014		316				3	10				7434	7530	855	2025-09-16					7630	7530	855	2021-02-03	7600	7500	860	2001-11-29	2026-04-25
1753883	BE	371	Biel/Bienne	CH301935304601	0	3259					2584790.843	1220840.75	901	1004	1020	1122	1960		8013		302				4	8	2			7432	7530	855	2025-09-16					7632	7530	855	2021-02-03	7600	7500	860	2001-11-29	2026-04-25
1753884	BE	371	Biel/Bienne	CH294619253508	0	5845					2584786.367	1220945.755	901	1004	1020	1122			8012		132				3	3				7430	7520	855	2025-09-16	7400	7500	860	2001-11-29	7650	7560	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753885	BE	371	Biel/Bienne	CH180946351296	0	5733					2584799.263	1220958.063	901	1004	1020	1121			8012		112				2	2				7432	7520	855	2025-09-16					7632	7530	855	2021-02-03	7600	7500	860	2001-11-29	2026-04-25
1753886	BE	371	Biel/Bienne	CH743546128592	0	3260				Gymnasium Alpenstrasse	2584849.271	1220928.529	901	1004	1040	1263			8011		1555				6	1			6596	7432	7530	864	2025-08-28					7630	7520	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753887	BE	371	Biel/Bienne	CH194612093556	0	5734					2584806.08	1220964.562	901	1004	1020	1121			8012		103				2	2	3			7450	7560	860	2001-11-29					7650	7560	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753888	BE	371	Biel/Bienne	CH773518554611	0	1187					2584895.514	1220961.87	901	1004	1020	1110			8011		129				4	1				7432	7530	855	2025-09-16					7632	7530	855	2021-04-05	7600	7500	860	2001-11-29	2026-04-25
1753889	BE	371	Biel/Bienne	CH101235094630	0	5735					2584813.331	1220971.189	901	1004	1020	1110			8013		103				3	1				7430	7520	870	2025-08-22	7400	7500	860	2021-05-12	7650	7560	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753890	BE	371	Biel/Bienne	CH801735514616	0	1188					2584917.979	1220975.049	901	1004	1020	1121			8011		138				3	2	1			7430	7520	855	2025-09-16					7630	7520	855	2025-09-16	7600	7500	860	2001-11-29	2026-04-25
1753891	BE	371	Biel/Bienne	CH113509461267	0	5736					2584820.402	1220977.363	901	1004	1020	1110			8012		112				3	1				7430	7520	855	2025-09-16					7630	7520	855	2025-09-16	7600	7500	860	2001-11-29	2026-04-25
1753892	BE	371	Biel/Bienne	CH873510974620	0	1189					2584936.572	1220985.431	901	1004	1020	1110			8011		162				3	1				7432	7520	855	2025-09-16					7632	7520	864	2018-12-04	7600	7500	860	2001-11-29	2026-04-25
1753893	BE	371	Biel/Bienne	CH413588461230	0	3235					2584843.028	1221000.645	901	1004	1020	1121			8011		112				3	2				7434	7520	855	2025-09-16					7630	7520	864	2018-11-30	7600	7500	860	2001-11-29	2026-04-25
1753894	BE	371	Biel/Bienne	CH682646351051	0	6371					2584963.445	1221007.7	901	1004	1020	1122			8011		161				4	3				7430	7530	855	2025-09-16					7630	7530	855	2025-09-16	7600	7500	860	2001-11-29	2026-04-25
1753895	BE	371	Biel/Bienne	CH473511854686	0	3236					2584858.305	1221017.104	901	1004	1020	1122			8011		128				3	3				7432	7520	855	2025-09-16					7630	7520	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753896	BE	371	Biel/Bienne	CH894612263558	0	6370					2584974.514	1221015.375	901	1004	1020	1110			8012		96				5	1				7410	7501	864	2025-08-28	7400	7500	869	2024-09-27	7610	7501	864	2025-08-28	7600	7500	860	2001-11-29	2026-04-25
1753897	BE	371	Biel/Bienne	CH282346351470	0	3237					2584877.808	1221031.992	901	1004	1020	1121			8011		95				3	2				7434	7520	855	2025-09-16					7630	7520	864	2018-12-04	7600	7500	860	2001-11-29	2026-04-25
1753898	BE	371	Biel/Bienne	CH882646351278	0	6369					2584983.858	1221020.978	901	1004	1020	1122			8012		96				4	3				7434	7520	855	2025-09-16					7650	7560	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753899	BE	371	Biel/Bienne	CH134614353954	0	1191					2584997.998	1221030.864	901	1004	1020	1110			8012		203				2	1			374	7410	7501	864	2025-08-28	7400	7500	857	2023-05-17	7610	7501	864	2025-08-28	7600	7500	860	2001-11-29	2026-04-25
1753900	BE	371	Biel/Bienne	CH434612358818	0	3240					2584862.852	1220985.866	901	1004	1020	1121			8011		144				4	2				7430	7520	855	2025-09-16					7650	7560	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753901	BE	371	Biel/Bienne	CH443546128894	0	3241					2584881.733	1220999.987	901	1004	1020	1121			8011		174				4	2				7410	7501	865	2025-10-29	7400	7500	869	2022-11-30	7610	7501	865	2025-10-29	7600	7500	860	2001-11-29	2026-04-25
1753902	BE	371	Biel/Bienne	CH458846123590	0	3242					2584900.369	1221013.135	901	1004	1020	1122			8012		111				4	3	3			7434	7520	855	2025-09-16					7630	7520	864	2018-12-04	7600	7500	860	2001-11-29	2026-04-25
1753903	BE	371	Biel/Bienne	CH461246358896	0	3243					2584922.119	1221026.608	901	1004	1020	1121			8011		125				3	2				7430	7530	855	2025-09-16					7650	7560	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753904	BE	371	Biel/Bienne	CH573512884634	0	3245					2584955.934	1221036.374	901	1004	1020	1122			8013		117				4	4	1			7430	7520	855	2025-09-16					7630	7520	855	2025-09-16	7600	7500	860	2001-11-29	2026-04-25
1753905	BE	371	Biel/Bienne	CH134619350444	0	3295					2584980.295	1221064.044	901	1004	1020	1122			8011		170				4	3	2			7430	7520	855	2025-09-16					7630	7530	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753906	BE	371	Biel/Bienne	CH134612358526	0	3296					2585001.655	1221081.929	901	1004	1020	1110			8011		184				3	1				7432	7520	855	2025-09-16					7632	7520	864	2018-12-04					2026-04-25
1753907	BE	371	Biel/Bienne	CH601835044604	0	6274					2585025.632	1221103.692	901	1004	1020	1121			8014		206				2	2				7430	7530	855	2025-09-16	7400	7500	860	2021-05-12	7650	7560	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753908	BE	371	Biel/Bienne	CH143546128505	0	3297					2585046.182	1221111.69	901	1004	1020	1110			8011		102				2	1				7432	7530	855	2025-09-16					7632	7530	855	2021-02-04					2026-04-25
1753909	BE	371	Biel/Bienne	CH288546351247	0	3305					2585065.152	1221152.321	901	1004	1020	1110			8011		179				3	1			487	7410	7598	870	2025-08-01					7610	7598	870	2025-08-01	7600	7500	860	2001-11-29	2026-04-25
1753910	BE	371	Biel/Bienne	CH713505461293	0	3434					2584977.115	1221485.44	901	1004	1020	1121			8013		102				2	2				7432	7530	855	2021-04-08					7650	7560	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753911	BE	371	Biel/Bienne	CH143546107422	0	3470					2584948.005	1221612.279	901	1004	1020	1122	1971		8015		254				3	4				7432	7530	855	2025-09-16					7632	7530	855	2021-01-28	7600	7500	860	2001-11-29	2026-04-25
1753912	BE	371	Biel/Bienne	CH157446103591	0	3473					2584957.782	1221629.188	901	1004	1020	1121			8011		100				3	2				7430	7542	855	2025-09-16					7630	7540	860	2001-11-29					2026-04-25
1753913	BE	371	Biel/Bienne	CH743546120575	0	3437					2584951.799	1221545.385	901	1004	1020	1110			8012		77				3	1				7430	7520	855	2025-09-16					7630	7520	855	2025-09-16	7600	7500	860	2001-11-29	2026-04-25
1753914	BE	371	Biel/Bienne	CH750546123595	0	3438					2584956.348	1221548.817	901	1004	1020	1121			8012		77				4	2	1			7430	7520	860	2001-11-29					7650	7560	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753915	BE	371	Biel/Bienne	CH873512054684	0	3440					2584981.981	1221549.835	901	1004	1020	1121			8011		99				2	2				7410	7501	864	2025-08-28	7400	7500	869	2021-05-03	7610	7501	864	2025-08-28	7600	7500	860	2001-11-29	2026-04-25
1753916	BE	371	Biel/Bienne	CH734612350596	0	3436					2584982.772	1221530.332	901	1004	1020	1110			8011		103				3	1			274	7410	7501	864	2025-08-28					7610	7501	864	2025-08-28					2026-04-25
1753917	BE	371	Biel/Bienne	CH721205463528	0	3435					2584981.486	1221505.906	901	1004	1020	1122			8018		130				3	3				7410	7598	870	2025-08-01	7400	7500	860	2021-12-05	7610	7598	870	2025-08-01	7600	7500	860	2001-11-29	2026-04-25
1753918	BE	371	Biel/Bienne	CH973512054650	0	3458					2584970.177	1221595.351	901	1004	1020	1110			8013		148				2	1				7432	7530	855	2025-09-16					7632	7530	855	2021-01-26	7600	7500	860	2001-11-29	2026-04-25
1753919	BE	371	Biel/Bienne	CH288546351247	0	3305				Atelier	2585040.931	1221173.355	901	1004	1030	1110			8011		33				2	1	1			7410	7501	864	2025-08-28					7610	7501	864	2025-08-28					2026-04-25
1753920	BE	371	Biel/Bienne	CH187446351089	0	3459					2584985.673	1221611.846	901	1004	1020	1110			8011		57				3	1				7432	7520	855	2025-09-16					7632	7520	864	2019-01-09	7600	7500	860	2001-11-29	2026-04-25
1753921	BE	371	Biel/Bienne	CH873512314606	0	3460					2584990.936	1221616.937	901	1004	1020	1110			8011		57				4	1	1			7430	7520	855	2025-09-16					7630	7520	855	2025-09-16	7600	7500	860	2001-11-29	2026-04-25
1753922	BE	371	Biel/Bienne	CH773518794636	0	3461					2585000.594	1221626.146	901	1004	1020	1110			8011		96				2	1				7430	7520	855	2025-09-16					7630	7520	855	2025-09-16	7600	7500	860	2001-11-29	2026-04-25
1753923	BE	371	Biel/Bienne	CH561346355271	0	3462					2585014.24	1221639.031	901	1004	1020	1110			8011		85				3	1				7432	7520	855	2025-09-16					7632	7520	864	2019-01-09	7600	7500	860	2001-11-29	2026-04-25
1753924	BE	371	Biel/Bienne	CH101235054642	0	3497					2585058.057	1221727.289	901	1004	1020	1122			8014		405				3	6				7430	7530	855	2025-09-16	7400	7500	860	2021-05-12	7630	7530	855	2025-09-16	7600	7500	860	2001-11-29	2026-04-25
1753925	BE	371	Biel/Bienne	CH194610743573	0	3463					2585023.814	1221647.827	901	1004	1020	1110			8011		69				2	1				7430	7520	855	2025-09-16					7630	7520	855	2025-09-16	7600	7500	860	2001-11-29	2026-04-25
1753926	BE	371	Biel/Bienne	CH101035744683	0	3465					2585039.077	1221662.777	901	1004	1020	1110			8011		97				4	1				7430	7530	855	2025-09-16					7630	7530	855	2025-09-16	7600	7500	860	2001-11-29	2026-04-25
1753927	BE	371	Biel/Bienne	CH713541461854	0	3499					2585126.328	1221802.626	901	1004	1020	1110			8011		93				3	1				7410	7501	864	2025-08-28					7610	7501	864	2025-08-28	7600	7500	860	2001-11-29	2026-04-25
1753928	BE	371	Biel/Bienne	CH113574461066	0	3466					2585049.976	1221672.514	901	1004	1020	1110			8011		138				3	1			150	7410	7501	865	2025-10-29	7400	7500	860	2023-11-30	7650	7560	864	2025-08-28	7600	7500	860	2001-11-29	2026-04-25
1753929	BE	371	Biel/Bienne	CH121074463553	0	3467					2585065.04	1221688.746	901	1004	1020	1110			8011		114				3	1				7430	7520	855	2025-09-16					7630	7520	855	2025-09-16	7600	7500	860	2001-11-29	2026-04-25
1753930	BE	371	Biel/Bienne	CH134610357455	0	3468					2585079.544	1221702.072	901	1004	1020	1110			8011		97				3	1				7432	7520	855	2025-09-16					7632	7520	864	2019-01-08					2026-04-25
1753931	BE	371	Biel/Bienne	CH134612350509	0	3502					2585126.859	1221724.314	901	1004	1020	1110			8012		113				3	1				7434	7520	855	2025-09-16	7400	7500	860	2001-11-29	7630	7520	864	2019-01-08	7600	7500	860	2001-11-29	2026-04-25
1753932	BE	371	Biel/Bienne	CH257446103557	0	3503					2585136.144	1221740.299	901	1004	1020	1110			8011		119				3	1				7432	7530	855	2025-09-16					7650	7560	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753933	BE	371	Biel/Bienne	CH373510744665	0	3505					2585147.85	1221750.972	901	1004	1020	1110			8012		87				2	1				7430	7520	855	2025-09-16					7630	7520	855	2025-09-16	7600	7500	860	2001-11-29	2026-04-25
1753934	BE	371	Biel/Bienne	CH443546189272	0	3506					2585159.97	1221759.041	901	1004	1020	1110			8011		114				3	1				7432	7520	855	2025-09-16					7632	7520	864	2019-01-08	7600	7500	860	2001-11-29	2026-04-25
1753935	BE	371	Biel/Bienne	CH143546120585	0	3507					2585173.038	1221768.202	901	1004	1020	1122			8013		131				4	4	1			7430	7530	855	2025-09-16					7650	7560	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753936	BE	371	Biel/Bienne	CH873512494649	0	6490					2585182.911	1221775.592	901	1004	1020	1122			8013		131				4	4	1			7432	7530	855	2025-09-16					7650	7560	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753937	BE	371	Biel/Bienne	CH150546123508	0	3508					2585195.119	1221791.586	901	1004	1020	1122			8011		94				4	3				7432	7520	855	2025-09-16					7630	7520	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753938	BE	371	Biel/Bienne	CH443546119293	0	3550					2585816.783	1221861.388	901	1004	1020	1121			8011		86				3	2				7434	7520	855	2025-09-16					7630	7520	855	2019-11-27	7600	7500	860	2001-11-29	2026-04-25
1753939	BE	371	Biel/Bienne	CH601235054666	0	5776					2585787.876	1221890.825	901	1004	1020	1110			8013		227				1	1				7430	7520	855	2025-09-16					7630	7520	855	2025-09-16	7600	7500	860	2001-11-29	2026-04-25
1753940	BE	371	Biel/Bienne	CH101235054642	0	3497					2585038.713	1221708.907	901	1004	1020	1122			8017		390				3	6				7430	7530	864	2025-08-28					7630	7530	864	2025-08-28	7600	7500	860	2001-11-29	2026-04-25
1753941	BE	371	Biel/Bienne	CH343546120913	0	5775					2585768.806	1221871.606	901	1004	1020	1110			8012		88				3	1				7430	7520	855	2025-09-16					7650	7560	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753942	BE	371	Biel/Bienne	CH334612350934	0	5774					2585761.54	1221864.038	901	1004	1020	1121			8012		89				3	2	2			7430	7520	855	2025-09-16					7650	7560	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753943	BE	371	Biel/Bienne	CH594612113511	0	3524					2585742.501	1221833.21	901	1004	1020	1110			8011		110				3	1	1			7434	7520	855	2025-09-16					7650	7560	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753944	BE	371	Biel/Bienne	CH721226463533	0	6361					2585766.694	1221915.942	901	1004	1020	1122			8014		353				4	11				7430	7520	855	2025-09-16					7630	7520	855	2025-09-16	7600	7500	860	2001-11-29	2026-04-25
1753945	BE	371	Biel/Bienne	CH973511614685	0	6874					2585741.082	1221904.75	901	1004	1040	1264			8014		104				3		6			7430	7520	870	2025-08-22					7630	7530	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753946	BE	371	Biel/Bienne	CH573512114671	0	3521					2585736.197	1221933.717	901	1004	1040	1130			8012		340				2	3	5		360	7410	7501	864	2025-08-28	7400	7500	869	2020-10-01	7610	7501	864	2025-08-28	7600	7500	860	2001-11-29	2026-04-25
1753947	BE	371	Biel/Bienne	CH461246351176	0	3520					2585692.885	1221928.833	901	1004	1020	1122			8013		87				3	3				7430	7520	860	2001-11-29					7630	7530	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753948	BE	371	Biel/Bienne	CH613647647194	0	11149					2585573.373	1222084.988	901	1004	1020	1122			8011		465				3	3				7430	7542	855	2025-09-16					7650	7560	860	2001-11-29					2026-04-25
1753949	BE	371	Biel/Bienne	CH861246357768	0	6914					2585085.567	1221425.837	901	1004	1020	1110			8012		111				2	1				7410	7501	869	2025-12-23	7400	7500	869	2025-12-23	7610	7501	869	2025-12-23	7600	7500	860	2001-11-29	2026-04-25
1753950	BE	371	Biel/Bienne	CH873513684680	0	3281					2585101.612	1221443.617	901	1004	1020	1110			8012		99				3	1			237	7410	7501	864	2025-08-28	7400	7500	869	2023-07-12	7610	7501	864	2025-08-28	7600	7500	860	2001-11-29	2026-04-25
1753951	BE	371	Biel/Bienne	CH188246351958	0	5865					2585116.513	1221457.903	901	1004	1020	1110			8012		94				4	1				7430	7520	857	2026-02-11	7400	7500	857	2026-02-11	7630	7520	857	2026-02-11	7600	7500	860	2001-11-29	2026-04-25
1753952	BE	371	Biel/Bienne	CH481246351210	0	5866					2585130.007	1221471.553	901	1004	1020	1121			8012		143				2	2				7434	7520	855	2025-09-16					7630	7520	864	2018-12-19	7600	7500	860	2001-11-29	2026-04-25
1753953	BE	371	Biel/Bienne	CH973510804637	0	6316					2585107.077	1221500.744	901	1004	1020	1122			8012		293				3	11				7434	7520	855	2025-09-16					7634	7520	864	2020-05-15	7600	7500	860	2001-11-29	2026-04-25
1753954	BE	371	Biel/Bienne	CH213550461846	0	5710					2585142.611	1221487.776	901	1004	1020	1110			8012		95				3	1				7434	7530	855	2025-09-16					7630	7530	855	2022-01-24	7600	7500	860	2001-11-29	2026-04-25
1753955	BE	371	Biel/Bienne	CH880546351263	0	3442					2585129.214	1221525.456	901	1004	1020	1122			8014		421				3	6				7434	7520	855	2025-09-16					7634	7520	864	2018-12-19	7600	7500	860	2001-11-29	2026-04-25
1753956	BE	371	Biel/Bienne	CH494612083554	0	3417					2585184.112	1221508.569	901	1004	1060	1263	1969		8014		2117				3					7430	7540	864	2013-01-01					7620	7570	864	2013-01-01	7600	7500	860	2001-11-29	2026-04-25
1753957	BE	371	Biel/Bienne	CH843546120937	0	5717					2585372.959	1221615.638	901	1004	1020	1110			8012		129				3	1				7410	7501	869	2025-06-04	7400	7500	869	2025-06-04	7610	7501	869	2025-06-04	7600	7500	860	2001-11-29	2026-04-25
1753958	BE	371	Biel/Bienne	CH989746351465	0	10310					2585345.689	1221642.621	901	1004	1020	1122			8014		246				4	10				7432	7520	855	2025-09-16					7632	7530	855	2002-12-31	7600	7500	860	2001-11-29	2026-04-25
1753959	BE	371	Biel/Bienne	CH613647647194	0	11149					2585571.011	1222060.902	901	1004	1020	1110			8011		82				1	1				7436	7540	860	2001-11-29					7650	7560	860	2001-11-29					2026-04-25
1753960	BE	371	Biel/Bienne	CH989746351465	0	10310					2585374.774	1221663.099	901	1004	1020	1122			8014		245				4	9				7432	7520	855	2025-09-16					7632	7530	855	2003-12-31	7600	7500	860	2001-11-29	2026-04-25
1753961	BE	371	Biel/Bienne	CH634613356759	0	8028					2585462.647	1221736.932	901	1004	1020	1110			8013		110				1	1				7410	7501	864	2025-08-28	7430	7540	864	2021-04-13	7610	7501	864	2025-08-28	7600	7500	860	2001-11-29	2026-04-25
1753962	BE	371	Biel/Bienne	CH989746351465	0	10310					2585403.087	1221682.824	901	1004	1020	1122			8014		245				4	9				7430	7520	855	2025-09-16					7630	7520	855	2025-09-16	7600	7500	860	2001-11-29	2026-04-25
1753963	BE	371	Biel/Bienne	CH201835644657	0	3360					2585476.371	1221752.427	901	1004	1020	1110			8014		187				3	1				7432	7530	855	2025-09-16					7630	7530	860	2001-11-29					2026-04-25
1753964	BE	371	Biel/Bienne	CH694612923525	0	5707					2585436.394	1221764.545	901	1004	1020	1110			8012		83				3	1				7430	7520	855	2025-09-16					7630	7520	855	2025-09-16					2026-04-25
1753965	BE	371	Biel/Bienne	CH154946173566	0	3947					2585487.054	1221775.67	901	1004	1020	1110			8012		135				2	1				7432	7520	855	2025-09-16					7630	7520	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753966	BE	371	Biel/Bienne	CH950846123543	0	3361					2585498.499	1221790.516	901	1004	1020	1122			8012		120				4	3				7430	7520	855	2025-09-16					7630	7520	855	2025-09-16	7600	7500	860	2001-11-29	2026-04-25
1753967	BE	371	Biel/Bienne	CH901035684623	0	3883					2585515.179	1221811.122	901	1004	1020	1110			8012		204				3	1				7410	7598	870	2025-08-01					7610	7598	870	2025-08-01					2026-04-25
1753968	BE	371	Biel/Bienne	CH301435294642	0	9360					2585455.005	1221785.835	901	1004	1020	1121			8016		190				2	2				7432	7520	855	2025-09-16					7632	7520	864	2018-12-19	7600	7500	860	2001-11-29	2026-04-25
1753969	BE	371	Biel/Bienne	CH889246351935	0	9661					2585423.472	1221810.891	901	1004	1020	1121			8016		172				2	2				7410	7598	860	2001-11-29					7630	7540	860	2001-11-29					2026-04-25
1753970	BE	371	Biel/Bienne	CH443546120877	0	3427					2585456.564	1221822.462	901	1004	1020	1110			8016		141				2	1			235	7430	7520	870	2025-08-22					7630	7520	870	2025-08-22	7600	7500	860	2001-11-29	2026-04-25
1753971	BE	371	Biel/Bienne	CH313529461411	0	9361					2585485.818	1221831.052	901	1004	1020	1122			8016		254				3	5				7430	7520	855	2025-09-16					7630	7520	855	2025-09-16	7600	7500	860	2001-11-29	2026-04-25
