EGID	EDID	EGAID	DEINR	ESID	STRNAME	STRNAMK	STRINDX	STRSP	STROFFIZIEL	DPLZ4	DPLZZ	DPLZNAME	DKODE	DKODN	DOFFADR	DEXPDAT
1753871	0	101971030	44	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584746.912	1220844.365	1	2026-04-25
1753872	0	102209329	15	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584492.845	1220659.334	1	2026-04-25
1753872	0	102209329	15	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584492.845	1220659.334	1	2026-04-25
1753873	0	101936127	15a	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584503.668	1220667.453	1	2026-04-25
1753873	0	101936127	15a	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584503.668	1220667.453	1	2026-04-25
1753874	0	100938910	17	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584515.515	1220674.227	1	2026-04-25
1753874	0	100938910	17	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584515.515	1220674.227	1	2026-04-25
1753875	0	100938911	17a	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584526.215	1220682.336	1	2026-04-25
1753875	0	100938911	17a	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584526.215	1220682.336	1	2026-04-25
1753876	0	100938912	19	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584538.056	1220689.064	1	2026-04-25
1753876	0	100938912	19	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584538.056	1220689.064	1	2026-04-25
1753877	0	100938913	19a	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584550.771	1220697.679	1	2026-04-25
1753877	0	100938913	19a	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584550.771	1220697.679	1	2026-04-25
1753878	0	100938914	21	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584561.45	1220706.097	1	2026-04-25
1753878	0	100938914	21	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584561.45	1220706.097	1	2026-04-25
1753879	0	100938915	21a	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584573.01	1220713.079	1	2026-04-25
1753879	0	100938915	21a	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584573.01	1220713.079	1	2026-04-25
1753880	0	101948698	44a	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584775.722	1220829.231	1	2026-04-25
1753880	0	101948698	44a	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584775.722	1220829.231	1	2026-04-25
1753881	0	100938916	45	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584774.688	1220943.09	1	2026-04-25
1753881	0	100938916	45	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584774.688	1220943.09	1	2026-04-25
1753882	0	100938917	46	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584763.215	1220865.533	1	2026-04-25
1753882	0	100938917	46	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584763.215	1220865.533	1	2026-04-25
1753883	0	100938918	46a	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584785.584	1220845.553	1	2026-04-25
1753883	0	100938918	46a	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584785.584	1220845.553	1	2026-04-25
1753884	0	100938919	47	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584782.44	1220950.223	1	2026-04-25
1753884	0	100938919	47	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584782.44	1220950.223	1	2026-04-25
1753885	0	100938920	49	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584795.607	1220961.915	1	2026-04-25
1753885	0	100938920	49	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584795.607	1220961.915	1	2026-04-25
1753886	0	101999434	50	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584869.445	1220952.975	1	2026-04-25
1753886	0	101999434	50	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584869.445	1220952.975	1	2026-04-25
1753887	0	100938921	51	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584802.707	1220968.424	1	2026-04-25
1753887	0	100938921	51	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584802.707	1220968.424	1	2026-04-25
1753888	0	100938922	52	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584892.972	1220966.314	1	2026-04-25
1753888	0	100938922	52	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584892.972	1220966.314	1	2026-04-25
1753889	0	101933107	53	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584809.763	1220974.866	1	2026-04-25
1753889	0	101933107	53	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584809.763	1220974.866	1	2026-04-25
1753890	0	102090927	54	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584914.811	1220978.169	1	2026-04-25
1753890	0	102090927	54	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584914.811	1220978.169	1	2026-04-25
1753891	0	100938923	55	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584816.881	1220981.337	1	2026-04-25
1753891	0	100938923	55	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584816.881	1220981.337	1	2026-04-25
1753892	0	100938924	56	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584935.864	1220992.051	1	2026-04-25
1753892	0	100938924	56	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584935.864	1220992.051	1	2026-04-25
1753893	0	101941762	57	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584837.519	1221001.025	1	2026-04-25
1753893	0	101941762	57	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584837.519	1221001.025	1	2026-04-25
1753894	0	100938925	58	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584960.93	1221011.853	1	2026-04-25
1753894	0	100938925	58	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584960.93	1221011.853	1	2026-04-25
1753895	0	100938926	59	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584854.304	1221020.733	1	2026-04-25
1753895	0	100938926	59	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584854.304	1221020.733	1	2026-04-25
1753896	0	101949121	60	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584971.217	1221018.038	1	2026-04-25
1753896	0	101949121	60	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584971.217	1221018.038	1	2026-04-25
1753897	0	100938927	61	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584876.345	1221036.547	1	2026-04-25
1753897	0	100938927	61	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584876.345	1221036.547	1	2026-04-25
1753898	0	100938928	62	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584982.217	1221024.648	1	2026-04-25
1753898	0	100938928	62	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584982.217	1221024.648	1	2026-04-25
1753899	0	100938929	64	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584996.266	1221034.259	1	2026-04-25
1753899	0	100938929	64	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584996.266	1221034.259	1	2026-04-25
1753900	0	101971040	71	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584855.655	1220987.963	1	2026-04-25
1753900	0	101971040	71	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584855.655	1220987.963	1	2026-04-25
1753901	0	101971056	73	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584878.701	1221004.588	1	2026-04-25
1753901	0	101971056	73	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584878.701	1221004.588	1	2026-04-25
1753902	0	101940301	75	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584897.221	1221017.173	1	2026-04-25
1753902	0	101940301	75	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584897.221	1221017.173	1	2026-04-25
1753903	0	100938930	77	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584921.815	1221032.622	1	2026-04-25
1753903	0	100938930	77	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584921.815	1221032.622	1	2026-04-25
1753904	0	100938931	83	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584955.323	1221031.818	1	2026-04-25
1753904	0	100938931	83	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584955.323	1221031.818	1	2026-04-25
1753905	0	100938932	85	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584985.212	1221060.215	1	2026-04-25
1753905	0	100938932	85	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584985.212	1221060.215	1	2026-04-25
1753906	0	100938933	87	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2585003.093	1221090.51	1	2026-04-25
1753906	0	100938933	87	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2585003.093	1221090.51	1	2026-04-25
1753907	0	100938934	89	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2585028.832	1221109.212	1	2026-04-25
1753907	0	100938934	89	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2585028.832	1221109.212	1	2026-04-25
1753908	0	102205857	93	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2585050.036	1221115.423	1	2026-04-25
1753908	0	102205857	93	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2585050.036	1221115.423	1	2026-04-25
1753909	0	100938935	95	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2585070.35	1221158.725	1	2026-04-25
1753909	0	100938935	95	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2585070.35	1221158.725	1	2026-04-25
1753910	0	100938936	4	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2584974.097	1221483.939	1	2026-04-25
1753910	0	100938936	4	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2584974.097	1221483.939	1	2026-04-25
1753911	0	100938937	7	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2584949.885	1221606.06	1	2026-04-25
1753911	0	100938937	7	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2584949.885	1221606.06	1	2026-04-25
1753912	0	100938938	11	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2584959.438	1221634.613	1	2026-04-25
1753912	0	100938938	11	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2584959.438	1221634.613	1	2026-04-25
1753913	0	100938939	14	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2584948.655	1221551.0	1	2026-04-25
1753913	0	100938939	14	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2584948.655	1221551.0	1	2026-04-25
1753914	0	100938940	16	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2584951.859	1221553.398	1	2026-04-25
1753914	0	100938940	16	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2584951.859	1221553.398	1	2026-04-25
